"a";"Art";"एक"
"abstemious";"Adj";"संयमी"
"abstention";"N";"तटस्थता"
"abstinence";"N";"परहेज"
"abstract";"N";"सारांश"
"abstract";"N";"भाव"
"abstract";"Adj";"कलासंबंधीअमूर्त"
"abstract";"Adj";"निराकार"
"abstract";"Adj";"गूढ"
"abstract";"V";"हटालेना"
"abstract";"V";"संक्षिप्तबनाना"
"abstract";"V";"संक्षेपकरना"
"abstracted";"Adj";"अन्यमनस्क"
"abstraction";"N";"अमूर्तिकरण"
"abstraction";"N";"अन्यमनस्कता"
"abstruse";"Adj";"जटिल"
"abstruse";"Adj";"कठिन"
"absurd";"Adj";"निरर्थक"
"absurd";"Adj";"बेतुका"
"absurd";"Adj";"बुद्धिरूद्ध"
"absurd";"Adj";"मूर्ख"
"the absurd";"N";"मूर्खता"
"absurdity";"N";"अनर्थकता"
"abundance";"N";"अधिकता"
"abundance";"N";"अपार"
"abundant";"Adj";"बहुतसारा"
"abundant";"Adj";"प्रचुर"
"abundant";"Adj";"ढेर"
"abuse";"N";"दुर्व्यवहार"
"abuse";"N";"अपशब्द"
"abuse";"N";"अधिकदुरुपयोग"
"abuse";"VT";"दुर्व्यवहारकरना"
"abusive";"Adj";"निन्दककुत्सावादी"
"abut";"V";"मिलना"
"abysmal";"Adj";"बहुतखराब"
"abyss";"N";"गहराकुंड"
"acacia";"N";"पीले एवं सफेद फूल वाला पेड"
"academia";"N";"शिक्षायाशोधकाक्षेत्र"
"academic";"Adj";"शैक्षिक"
"academic";"Adj";"सैद्धांतिक"
"academic";"N";"उच्च श्रेणी का शिक्षक"
"academician";"N";"शिक्षा परिषद का सदस्य"
"academy";"N";"शिक्षा या शोध संस्थान"
"accede";"VT";"स्वीकार करना"
"accelerate";"VTI";"चाल बढ आना"
"acceleration";"N";"त्वरण"
"accelerator";"N";"गतिवर्धक"
"accent";"N";"स्वरकाचढआवउतार"
"accent";"V";"स्वरउच्चारणकरना"
"accentuate";"VT";"जोरदेना"
"accept";"VT";"स्वीकारकरना"
"acceptable";"Adj";"स्वीकार्य"
"acceptance";"N";"स्वीकृति"
"access";"N";"पहुच"
"access";"V";"पहुचना"
"accessible";"Adj";"अभिगम्य"
"accession";"N";"उच्चपदप्राप्ति"
"accessory";"N";"उपसाधन"
"accident";"N";"दुर्घटना"
"accidental";"Adj";"आकस्मिक"
"accidentally";"Adv";"संयोगवश"
"acclaim";"V";"वाहवाहकरना"
"acclaim";"N";"वाहवाही"
"acclaim";"N";"सम्मान"
"acclamation";"N";"वाहवाही"
"acclamation";"N";"सम्मान"
"acclimatize";"V";"दशानुकूलितहोना"
"accolade";"N";"सम्मान"
"accommodate";"V";"रह सकना"
"accommodate";"V";"समाविष्ट करना"
"accommodate";"V";"समायोजित करना"
"accommodate";"V";"सहायता करना"
"accommodating";"Adj";"सहयोग देना"
"accommodation";"N";"आवास"
"accommodation";"N";"समायोजन"
"accompaniment";"N";"साथ"
"accompaniment";"N";"संगीत संबंधी"
"accompaniment";"N";"संगत"
"accompanist";"N";"संगीत में संगतकार"
"accompany";"VT";"साथ होना"
"accompany";"VT";"संगतकरना"
"accomplice";"N";"सह अपराधी"
"accomplish";"VT";"पूरा करना"
"accomplished";"Adj";"निपुण"
"accomplishment";"N";"निष्पत्ति"
"accomplishment";"N";"उपलब्धि"
"accomplishment";"N";"प्रवीणता"
"accord";"N";"समझौता"
"accord";"V";"मिलना"
"accord";"V";"देना"
"accordance";"N";"अनुरूप"
"according";"Prep";"के अनुसार"
"accordingly";"Adv";"तदनुसार"
"accordion";"N";"एक वाद्ययंत्र"
"accost";"V";"संबोधन करना"
"account";"N";"खाता"
"account";"N";"विवरण"
"account";"VT";"कुछ होने की आशंका"
"account";"VT";"मानना"
"account";"VT";"निश्चित मात्रा में होना"
"accountable";"Adj";"उत्तरदायी"
"accountability";"N";"जवाबदेही"
"accountancy";"N";"लेखाकर्म"
"accountant";"N";"लेखाकार"
"accoutrement";"N";"साज-सज्जा"
"accredit";"VT";"प्रत्यायितकरना"
"accredit";"VT";"श्रेयदेना"
"accreditation";"N";"प्रत्यायन"
"accreditation";"N";"मान्यता"
"accretion";"N";"अभिवृद्धि"
"accrue";"V";"बढना"
"accrue";"V";"इकठ्ठा होना"
"accumulate";"VT";"संचयकरना"
"accumulation";"N";"संचयन"
"accumulative";"Adj";"संचयी"
"accuracy";"N";"शुद्धता"
"accuracy";"N";"यथा र्थता"
"accurate";"Adj";"सही"
"accurately";"Adv";"सहीढंगसे"
"accursed";"Adj";"घृणित"
"accusation";"N";"अभियोग"
"accusative";"N";"कर्मकारक"
"accuse";"VT";"दोषलगाना"
"accusatory";"Adj";"अभियोगात्मक"
"accused";"N";"अभियुक्त"
"accuser";"N";"दोषलगानेवाला"
"accusing";"Adj";"दोषलगातेहुए"
"accusingly";"Adv";"आरोपलगातेहुए"
"accustom";"VT";"अभ्यस्तहोना"
"accustomed";"Adj";"अभ्यस्त"
"ace";"N";"इक्काताशका"
"ace";"N";"कुशल"
"ace";"N";"टेनिस में"
"ace";"N";"सर्विस जो प्रतिद्वन्दी नहीं खेल पाता"
"ace";"Adj";"बहुत अच्छा"
"acerbic";"Adj";"तीखास्वभाव"
"acerbity";"N";"कठोरपन"
"acetate";"N";"एसीटेट"
"acetic";"Adj";"खटासभरा"
"acetic-acid";"N";"सिरकाअम्ल"
"acetylene";"N";"एसीटिलीनगैस"
"ache";"N";"पीडआ"
"ache";"V";"दर्दकरना"
"achieve";"VT";"पूराकरना"
"achievable";"Adj";"प्राप्तव्य"
"achievement";"N";"उपलब्धि"
"acidic";"Adj";"अम्लीय"
"acidic";"Adj";"खट्टा"
"acid";"N";"तेजाब"
"acid";"N";"अम्ल"
"acidify";"V";"अम्लकरना"
"acidity";"N";"अम्लता"
"acidulous";"Adj";"अम्लवत्"
"acidulous";"Adj";"स्वभावमेंतीखा"
"acknowledge";"V";"स्वीकारकरना"
"acknowledgment";"N";"स्वीकृति"
"acme";"N";"पराकाष्ठा"
"acne";"N";"मुहासा"
"acolyte";"N";"पादरीकासहायक"
"aconite";"N";"बछनाग"
"acorn";"N";"शाहबलूतकाफलयाबीज"
"acoustic";"Adj";"ध्वनिसंबंधी"
"acoustics";"N";"ध्वनिकेलिएउत्तम"
"acquaint";"VT";"अवगतकरना"
"acquainted";"Adj";"परिचित"
"acquaintance";"N";"परिचित"
"acquaintance";"N";"परिचय"
"acquiesce";"V";"बिना विरोध के स्वीकार करना"
"acquiescence";"N";"प्रसन्नतापूर्वकअंगीकार"
"acquiescent";"Adj";"सहमतहोना"
"acquire";"VT";"अर्जनकरना"
"acquisition";"N";"अर्जन"
"acquisitive";"Adj";"अर्जनशील"
"acquit";"VT";"दोषमुक्तकरना"
"acquittal";"N";"दोषमुक्ति"
"acre";"N";"एकड"
"acre";"N";"वर्ग"
"acre";"N";"गज"
"acre";"N";"भूमि"
"acreage";"N";"कईवर्गभूमि"
"acrid";"Adj";"उग्रस्वभाव"
"acrid";"Adj";"बदबू"
"acrimony";"N";"कटुतास्वभावमे"
"acrimony";"N";"कडउवापन"
"acrimonious";"Adj";"कटु"
"acrobat";"N";"नट"
"acrobatic";"Adj";"नटीय"
"acrobatics";"N";"कलाबाजी"
"acronym";"N";"संक्षिप्तिशब्दोकेप्रथमशब्दसेबनाशब्द"
"across";"Adv";"आरपार"
"across";"Adv";"उसपार"
"across";"Adv";"कोईएकदिशामें"
"across";"Prep";"सभीओर"
"across";"Prep";"उसपारसे"
"across";"Prep";"केऊपरयासामने"
"across";"Prep";"वहासेयहा"
"acrostic";"N";"अक्षरबद्धकविता"
"acrylic";"Adj";"तेजाब से बना हुआ"
"acrylic";"N";"तेजाब से बना हुआ एक प्रकार का रसायनिक पदार्थ"
"act";"N";"कार्य"
"act";"N";"नाटककाअंग"
"act";"N";"अधिनियम"
"act";"V";"कामकरना"
"act";"V";"अभिनयकरना"
"acting";"Adj";"कार्यकारी"
"acting";"N";"अभिनय"
"action";"N";"क्रिया"
"action";"Adj";"कानूनीकार्यवाहीकरनेयोग्य"
"actionable";"Adj";"कानूनीकार्यवाहीकरनेयोग्य"
"activate";"V";"सक्रियकरना"
"activation";"N";"उत्प्रेरण"
"activator";"N";"उत्प्रेरक"
"active";"Adj";"सक्रिय"
"active service";"N";"सक्रिय सेवा"
"active voice";"N";"कतृवाच्य"
"actively";"Adv";"सक्रियरूपसे"
"activity";"N";"क्रिया-कलाप"
"activism";"N";"सक्रियतावाद"
"actor";"N";"अभिनेता"
"actress";"N";"अभिनेत्री"
"actual";"Adj";"वास्तविक"
"actually";"Adv";"वास्तवमें"
"actually";"Adv";"वस्तुत:"
"actualist";"N";"वास्तविकतावादी"
"actuality";"N";"वास्तविकता"
"actuary";"N";"बीमांकिक"
"actuarial";"Adj";"बीमांकिकी"
"actuate";"V";"परिचालितकरना"
"acuity";"N";"तीक्ष्णता"
"acumen";"N";"कुशाग्र बुद्धि"
"acupuncture";"N";"एक्यूपंचरचिकित्सा"
"acute";"Adj";"तीक्ष्ण"
"acute";"Adj";"कुशाग्र"
"acute";"Adj";"विकट"
"acute angle";"N";"न्यूनकोण"
"acutely";"Adv";"तीव्रता से"
"acuteness";"N";"तीक्ष्णता"
"adage";"N";"कहावत"
"adagio";"Adj";"धीरे-धीरेएवंशोभनीय"
"adam";"N";"आदिपुरूष"
"adam's apple";"N";"कंठमणि"
"adamant";"Adj";"अडिग"
"adapt";"VT";"अनुकूल बनाना"
"adapt";"VT";"के लिऎ रूपांतरित करना"
"adaptable";"Adj";"अनुकूलनीय"
"add";"V";"जोडना"
"add";"V";"बढाना"
"add";"V";"मिलाना"
"add on";"N";"जोडआगया"
"addendum";"N";"परिशिष्ट"
"adder";"N";"जहरीलासाप"
"addict";"N";"लतलगाहुआ"
"addicted";"Adj";"वशीभूत"
"addiction";"N";"लत"
"addictive";"Adj";"लतलगानेवालीवस्तु"
"addition";"N";"जोड"
"addition";"N";"जोडईगईवस्तु"
"addition";"N";"जोडनेकीक्रिया"
"additionally";"Adv";"इसकेअतिरिक्त"
"additional";"Adj";"अतिरिक्त"
"additive";"N";"योज्य"
"addled";"Adj";"व्याकुल"
"address";"N";"पता"
"address";"N";"भाषण"
"address";"V";"पतालिखना"
"address";"V";"भाषणदेना"
"address";"V";"निवेदनकरना"
"address";"V";"उपाधिदेना"
"address";"V";"वाकिफकरना"
"addressee";"N";"जिसकोपत्रलिखाजाए"
"adduce";"V";"प्रमाणदेना"
"adenoids";"N";"गिल्टी"
"adenoidal";"Adj";"गिल्टीवाला"
"adept";"Adj";"माहिर"
"adequate";"Adj";"पर्याप्त"
"adequate";"Adj";"योग्य"
"adequacy";"N";"पर्याप्तता"
"adequately";"Adv";"पर्याप्तरूपमें"
"adhere";"V";"पालनकरना"
"adhere";"V";"चिपकना"
"adherent";"N";"पालनकर्ता"
"adherent";"N";"अनुचर"
"adherence";"N";"अवलम्बन"
"adhesion";"N";"लगाव"
"adhesion";"N";"अवलम्ब"
"adhesive";"Adj";"चिपचिपा"
"adhesive";"N";"चिपकानेवालापदार्थ"
"ad hoc";"Adj";"तदर्थ"
"ad hoc";"Adv";"अनौपचारिक रूप से बिना किसी योजना के"
"adieu";"Interj";"नमस्कारजातेसमय"
"ad infinitum";"Adv";"बिनाअन्तके"
"adjacent";"Adj";"पार्श्वस्थ"
"adjective";"N";"विशेषण"
"adjectival";"Adj";"विशेषणीय"
"adjectivally";"Adv";"विशेषणकेरुपमेप्रयोगकियाहुआ"
"adjoin";"V";"संयुक्तहोना"
"adjourn";"V";"स्थगितकरना"
"adjourn";"V";"कुछसमयकेलिएरोकना"
"adjourn";"V";"स्थानांतरितकरना"
"adjournment";"N";"स्थगन"
"adjudge";"V";"निर्णयकरना"
"adjudicate";"V";"मुकदमेकानिर्णयकरना"
"adjudicate";"V";"न्यायाधीशबनना"
"adjudication";"N";"न्यायनिर्णयन"
"adjudicator";"N";"निर्णायक"
"adjunct";"N";"जोडआहुआपरगौण"
"adjure";"V";"शपथदिलाकरपूछना"
"adjust";"V";"अनुकूलबनाना"
"adjust";"V";"व्यवस्थितकरना"
"adjust";"V";"बराबरकरना"
"adjustable";"Adj";"समायोज्य"
"adjustment";"N";"सुधार"
"adjustment";"N";"समायोजन"
"adjutant";"N";"सहायकसैनिकअधिकारी"
"ad lib";"Adj";"बिनातैयारीके"
"ad lib";"V";"बिनातैयारीकेबोलना"
"adman";"N";"विज्ञापनबनानेवाला"
"admin";"N";"शासन"
"administer";"V";"प्रबन्धकरना"
"administer";"V";"प्रशासनकरना"
"administer";"V";"प्रभावमेंलाना"
"administer";"V";"देना"
"administration";"N";"प्रशासन"
"administrative";"Adj";"प्रशासनिक"
"administrative";"Adj";"शासनसम्बन्धित"
"administratively";"Adv";"प्रशासनिकरूपसे"
"administrator";"N";"शासक"
"admirable";"Adj";"प्रशंसनीय"
"admirably";"Adv";"उत्तमरीतिसे"
"admiral";"N";"एडमिरलसमुद्रीसेनाकानायक"
"admiral";"N";"समुद्रीसेनापति"
"admiralty";"N";"नौसेनाविभाग"
"admiration";"N";"प्रशंसा"
"admire";"V";"प्रशंसाकरना"
"admirer";"N";"प्रशंसक"
"admirer";"N";"प्रेम करने वाला"
"admiring";"Adj";"प्रशंसायुक्त"
"admiringly";"Adv";"प्रशंसापूर्वक"
"admissible";"Adj";"स्वीकारकरनेयोग्य"
"admissibility";"N";"स्वीकृतता"
"admission";"N";"प्रवेश"
"admission";"N";"स्वीकृति"
"admit";"V";"स्वीकारकरना"
"admit";"V";"प्रवेशदेना"
"admit";"V";"भर्तीकरना"
"admittedly";"Adv";"स्वीकारकरतेहुए"
"admittance";"N";"प्रवेशकीआज्ञा"
"admonish";"V";"साधारणचेतावनीदेना"
"admonish";"V";"गम्भीरतासेसलाहदेना"
"admonishment";"N";"चेतावनी"
"admonition";"N";"चेतावनी"
"admonitory";"Adj";"चेतावनीदेनेवाला"
"adobe";"N";"ईट"
"adolescence";"N";"किशोरावस्था"
"adolescent";"Adj";"किशोरकालीन"
"adopt";"V";"गोदलेना"
"adopt";"V";"ग्रहणकरना"
"adopt";"V";"स्वीकारकरना"
"adopt";"V";"मानना"
"adoption";"N";"गोदलेना"
"adoption";"N";"स्वीकारकरना"
"adoptive";"Adj";"दत्तक"
"adorable";"Adj";"प्यारा"
"adore";"V";"आराधनाकरना"
"adore";"V";"बहुतपसन्दकरना"
"adoration";"N";"आराधना"
"adoring";"Adj";"प्यारभरा"
"adorn";"V";"सजाना"
"adornment";"N";"अलंकरण"
"adrenal";"Adj";"अधिवृक्क"
"adrenalin";"N";"अधिवृक्कग्रंथि"
"adrift";"Adj";"तैरताहुआ"
"adrift";"Adj";"डावाडोल"
"adroit";"Adj";"निपुण"
"adroitly";"Adv";"कुशलतासे"
"adroitness";"N";"कुशलता"
"adulation";"N";"चापलूसी"
"adulatory";"Adj";"चापलूसीपूर्ण"
"adult";"N";"बालिग"
"adult";"Adj";"वयस्क"
"adulthood";"N";"यौवनावस्था"
"adulterate";"V";"मिलावटकर"
"adultery";"N";"व्यभिचार"
"adulterer";"N";"व्यभिचारी"
"adulteress";"N";"व्यभिचारिणी"
"adulterous";"Adj";"व्यभिचारी"
"adumbrate";"V";"अस्पष्टरूपसेसमझाना"
"adumbrate";"V";"पूर्वसूचनादेना"
"advance";"N";"फैलाव"
"advance";"N";"विकासदीर्घकालीनग"
"advance";"N";"प्रगति"
"advance";"N";"अग्रिमराशि"
"advance";"N";"बढत"
"advance";"N";"दोस्ती/प्यारजतानेकीकोशिश"
"advance";"N";"पहलेही"
"advance";"N";"अग्रगामी"
"advance";"Adj";"पूर्व"
"advance";"V";"आगेबढना"
"advance";"V";"प्रगतिकरना"
"advance";"V";"अग्रिमराशिदेना"
"advance";"V";"विचारयासुझावदेना"
"advance";"V";"निश्चितसमयसेपूर्वकरना"
"advanced";"Adj";"उन्नत"
"advanced";"Adj";"उच्चश्रेणीके"
"advanced";"Adj";"नया"
"advanced";"Adj";"अभीतकसामान्यरुपसेस्वीकृतिनामिलाहुआ"
"advanced";"Adj";"बढआहुआ"
"advancement";"N";"उन्नति"
"advantage";"N";"बढत"
"advantage";"N";"फायदा"
"advantage";"N";"भलाई"
"advantage";"N";"एडवांटेजटैनिसकेकेलमेंड्युसउपरांतअर्जितपहलाप्वाइंट"
"advantage";"N";"पूरा लाभ उठाना"
"advantage";"N";"गलत फायदा उठाना"
"advantage";"V";"पूरा फायदा उठाना"
"advantageous";"Adj";"फायदेमन्द"
"advent";"N";"आगमन"
"advent";"N";"क्रिसमस के पहले के दिन चार इतवार सहित"
"adventitious";"Adj";"आकस्मिक"
"adventure";"N";"जोखिमभराअनुभव"
"adventurer";"N";"साहसीयोद्धा"
"adventurous";"Adj";"साहसिक"
"adventure playground";"N";"मैदान"
"adverb";"N";"क्रियाविशेषण"
"adversary";"N";"विरोधी"
"adverse";"Adj";"प्रतिकूल"
"adversity";"N";"कठिनाई"
"advert";"N";"विज्ञापन"
"advertise";"V";"विज्ञापनदेना"
"advertisement";"N";"विज्ञापन"
"advertiser";"N";"विज्ञापनदेनेवाला"
"advertising";"N";"विज्ञापनकीप्रणाली"
"advice";"N";"सलाह"
"advice";"N";"उपदेश"
"advisable";"Adj";"उचित"
"advisable";"Adj";"योग्य"
"advise";"V";"सलाहदेना"
"advise";"V";"सूचितकरना"
"advisedly";"Adv";"विचारकरके"
"adviser";"N";"सलाहकार"
"advisory";"Adj";"सलाहकारी"
"advocacy";"N";"वकालत"
"advocate";"V";"वकालतकरना"
"advocate";"N";"वकील"
"advocate";"N";"समर्थक"
"adze";"N";"हसूला"
"adze";"N";"कुल्हाडई"
"aegis";"N";"संरक्षण"
"aeon(also eon)";"N";"युग"
"aeon(also eon)";"N";"कल्प"
"aerate";"V";"हवाभरना"
"aeration";"N";"हवाभरना"
"aerial";"N";"रेडियो संकेत पकडने वाला यंत्र"
"aerial";"Adj";"आकाशीय"
"aerial";"Adj";"विमानसे"
"aerial";"Adj";"हवामेंसेकियागया"
"aerial";"Adj";"हवाई"
"aero";"Comb form";"वायु"
"aerobatics";"N";"हवाईकलाबाजी"
"aerobatic";"Adj";"हवाईकलाबाजईवाला"
"aerobics";"N";"व्यायाम"
"aerodrome";"N";"हवाईअड्डा"
"aerodynamics";"N";"वायुगतिकी"
"aerogramme";"N";"बेतारपत्र"
"aeronautics";"N";"विमानविद्या"
"aeronautic";"Adj";"वैमानिक"
"aeronautical";"Adj";"वैमानिकी"
"aeroplane";"N";"वायुमान/हवाईजहाज"
"aerosol";"N";"पिचकारी वाला डिब्बा"
"aerospace";"N";"विमाननिर्माणतकनीक"
"aesthete";"N";"सौंदर्यप्रेमी"
"aesthetic";"Adj";"सौंदर्यपरख"
"aesthetic";"Adj";"सौंदर्यप्रेमी"
"aesthetic";"Adj";"सुरुचिपूर्ण"
"aesthetics";"N";"सौंदर्यशास्त्र"
"afar";"Adv";"दूरसे"
"afar";"Adv";"दूरपर"
"affable";"Adj";"मिलनसार"
"affable";"Adj";"सुशील"
"affability";"N";"सुशीलता"
"affability";"N";"मिलनसारी"
"affably";"Adv";"सुशीलतासे"
"affably";"Adv";"मिलनसारीसे"
"affair";"N";"कारोबार"
"affair";"N";"व्यापार"
"affair";"N";"प्रेमसम्बन्ध"
"affair";"N";"घटनाक्रम"
"affaire de coeur(French)";"IDM";"दिल का मामला"
"affect";"V";"प्रभावडालना"
"affect";"V";"बहानाकरना"
"affecting";"Adj";"प्रभावपूर्ण"
"affected";"Adj";"बनावटी"
"affectation";"N";"बनावटीबर्ताव"
"affection";"N";"स्नेह"
"affectionate";"Adj";"स्नेही"
"affectionately";"Adv";"स्नेहसे"
"affidavit";"N";"शपथ-पत्र"
"affiliate";"V";"किसी छोटी संस्था को बडई संस्था से"
"affiliate";"N";"शाखा"
"affiliation";"N";"सहबद्धता"
"affinity";"N";"सम्बन्ध"
"affirm";"V";"प्रमाणितकरना"
"affirm";"V";"दृढतापुर्वककहना"
"affirmation";"N";"अभिपुष्टि"
"affirmative";"Adj";"स्वीकारात्मक"
"affirmatively";"Adv";"स्वीकारात्मकरूपसे"
"affix";"V";"संयुक्तकरना"
"affix";"V";"जोडना"
"affix";"N";"प्रत्यय"
"afflict";"V";"त्रस्तहोना"
"afflicted";"Adj";"संतप्त"
"affliction";"N";"मुसीबत"
"affliction";"N";"रोग"
"affluence";"N";"समृद्धि"
"affluent";"Adj";"समृद्ध"
"affluent";"Adj";"धनी"
"afford";"V";"वहनकरपाना"
"afford";"V";"जुटापानाधन"
"afforest";"V";"जंगललगाना"
"afforestation";"N";"वनरोपण"
"affray";"N";"दंगा"
"affront";"N";"अपमान"
"affront";"V";"अपमानितकरना"
"affronted";"Adj";"अपमानित"
"Afghan";"N";"अफगानवासी"
"Afghan";"N";"अफगानिस्तानीभाषा"
"Afghan hound";"N";"लंम्बे बालो वाला कुत्ता"
"afield";"Adv";"दूरघरसे"
"aflame";"Adj";"प्रज्वलित"
"afloat";"Adj";"तैरताहुआ"
"afloat";"Adj";"बहताहुआ"
"afoot";"Adj";"जआरी"
"aforementioned";"Adj";"पूर्वोकपै"
"afraid";"Adj";"डराहुआ"
"afraid";"Adj";"भय-भीत"
"afresh";"Adj";"नए सिरेसे"
"African";"N";"अफ्ररीकी लोग"
"African";"Adj";"अफ्रीकी"
"afrikaans";"N";"अफ्रीकी भाषा"
"afro";"Adj";"घुघराले बाल"
"aft";"Adv";"जहा जके पिछले भाग के पास"
"after";"Adv";"बादमें"
"after";"Adv";"पीछे"
"after";"Prep";"केबाद"
"after";"Prep";"की ओर"
"after";"Prep";"के बारे में"
"after";"Prep";"के अनुसर णपर"
"after";"Adj";"बादका"
"after-care";"N";"बादकी देखभाल"
"after-effect";"N";"पश्चप्रभाव"
"after-taste";"N";"के बाद का जआयका"
"afterbirth";"N";"जेर"
"afterbirth";"N";"खेडई"
"afterglow";"N";"लालासूर्यास्तकेबादकी"
"afterlife";"N";"पुनर्जन्म"
"afterlife";"N";"मृत्यु के बाद का जीवन"
"aftermath";"N";"परिणाम"
"afternoon";"N";"तीसरापहर"
"afters";"N";"खाने के बाद खाये जाने वाला फल मिठाई"
"aftershave";"N";"आफ्टरशेवलोशन"
"afterthought";"N";"उत्तरचिंतन"
"afterwards";"Adv";"तत्पश्चात"
"again";"Adv";"फिरसे"
"again";"Adv";"एकबारफिर"
"again";"Adv";"दुबारा"
"again";"Adv";"पुन:"
"again";"Adv";"लेकिनफिर"
"against";"Prep";"केविरुद्ध"
"against";"Prep";"के सहारे"
"against";"Prep";"से अलग"
"agape";"Adj";"मुहबाएआश्चर्यसेमुहखोलेहुए"
"agate";"N";"सुलेमानीपत्थर"
"age";"N";"वय"
"age";"N";"उम्र"
"age";"N";"लम्बासमय"
"age";"N";"युग"
"age";"N";"युगों"
"age";"V";"उम्रबढना"
"age";"V";"बडआहोजाना"
"age";"V";"पुराना होना"
"aged";"Adj";"वृद्ध"
"ageism";"N";"वृद्धोंकेप्रतिअनुचितव्यवहार"
"agency";"N";"संस्था कर्तृत्व"
"agenda";"N";"करनेवालीकार्यवाही"
"agent";"N";"प्रति निधि"
"agent";"N";"गुमाश्ता"
"agent provocateur";"N";"प्रतिनिधिजो गलत कार्य करने वाले को "
"agglomeration";"N";"समूह ढेर"
"aggrandizement";"N";"शक्ति अथवा पदवी बढाना"
"aggravate";"VT";"उत्तेजितकरना"
"aggravate";"VT";"क्रोधितकरना"
"aggravating";"Adj";"उत्तेजक"
"aggravation";"N";"उत्तेजना"
"aggregate";"Adj";"कुल"
"aggregate";"N";"पूर्णयोग"
